Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
262824,FAO Field Officer,-2.513163,115.425809,Asia,Indonesia,Kalimantan Selatan,Labunganak,Exact,,25/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,65,,,,,
252247,National authorities,27.857184,85.407489,Asia,Nepal,Central,Bagmati,Centroid Admin2,24/03/2019,05/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,,,,,,,Male,21,1,1
250293,OIE,20.443063,85.401419,Asia,India,Orissa,Govt. Duck Breeding Farm,Exact,23/03/2019,04/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, duck,924,235,235,689,,,,
250046,OIE,26.70138889,87.22805556,Asia,Nepal,Eastern,Itahari-11,Exact,21/03/2019,04/01/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,2947,2100,2100,847,,,0,
250045,OIE,26.65018889,87.35805556,Asia,Nepal,Eastern,Sunder Haraicha,Exact,18/03/2019,04/01/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,3031,1092,1092,1939,,,0,
249548,OIE,27.718573,85.317751,Asia,Nepal,Central,Lainchaur,Exact,17/03/2019,26/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,200,200,,,,,
248811,OIE,43.18,24.67,Europe,Bulgaria,Lovech,Lisets,Exact,13/03/2019,13/03/2019,Confirmed,Influenza - Avian,H5 HPAI,domestic, unspecified bird,3200,20,0,,,,0,
249488,OIE,28.2553,84.10056,Asia,Nepal,Western,Madi ward-3,Exact,03/07/2019,24/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,100,23,23,77,,,,
249487,OIE,27.771416,85.318687,Asia,Nepal,Central,Tarkeshwor,Exact,03/07/2019,24/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,30673,2125,2125,28548,,,,
249486,OIE,27.762222,85.321944,Asia,Nepal,Central,Tokha,Exact,03/07/2019,24/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,2220,370,370,1850,,,,
249046,OIE,27.769718,85.317463,Asia,Nepal,Central,Tarkeshwor-1,Exact,28/02/2019,17/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,5852,2600,2600,3252,,,,
249045,OIE,27.396939,85.063117,Asia,Nepal,Central,Hetauda Submetropolitan,Exact,14/02/2019,17/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,50894,9769,9769,41125,,,,
248342,OIE,24.1502,86.6397,Asia,India,Jharkhand,Palojori Police Station,Exact,13/02/2019,03/07/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,9,9,,,,0,
262827,FAO Field Officer,-5.415057,105.309027,Asia,Indonesia,Lampung,Campang Raya,Exact,,02/10/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,10,,,,,
248341,OIE,23.3441,85.3096,Asia,India,Jharkhand,Oxygen Park,Exact,02/07/2019,03/07/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,1,1,,,,,
247630,OIE,25.216151,84.996358,Asia,India,Bihar,Collector Office Campus, Jehanabad,Exact,02/01/2019,21/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,18,18,0,,,
247632,OIE,23.8081,85.8233,Asia,India,Jharkhand,Gomia,Exact,28/01/2019,22/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,25,25,0,,,,
247631,OIE,24.8255,87.2135,Asia,India,Jharkhand,DC Campus, Godda,Exact,28/01/2019,22/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,wild, crow,,12,12,0,,,
262826,FAO Field Officer,-7.591536,110.707725,Asia,Indonesia,Jawa Tengah,Sanggung,Exact,,25/01/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, chicken,,,71,,,,,
262825,FAO Field Officer,-7.591536,110.707725,Asia,Indonesia,Jawa Tengah,Sanggung,Exact,,25/01/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, muscovy ducks,,,163,,,,,
247662,OIE,25.180833,87.349167,Asia,India,Jharkhand,Fajilkhutahari,Exact,25/01/2019,16/02/2019,Confirmed,Influenza - Avian,H5N1 HPAI,domestic, unspecified bird,4849,26,26,4823,,,,
245813,OIE,47.525612,40.552595,Europe,Russian Federation,Rostovskaya Oblast,Ursdon 2,Exact,21/01/2019,28/01/2019,Confirmed,Influenza - Avian,H5 HPAI,domestic, turkey,16177,51,51,,,,,
